 CONFUSEDFACE ,<ed><a0><bd><ed><b8><95>,,,
 SLIGHTLYFROWNINGFACE ,<ed><a0><bd><ed><b9><81>,,,
 WHITEFROWNINGFACE ,<e2><98><b9><ef><b8><8f>,,,
 PERSEVERINGFACE ,<ed><a0><bd><ed><b8><a3>,,,
 CONFOUNDEDFACE ,<ed><a0><bd><ed><b8><96>,,,
 TIREDFACE ,<ed><a0><bd><ed><b8><ab>,,,
 WEARYFACE ,<ed><a0><bd><ed><b8><a9>,,,
 SHRUGFACE ,<c2><af>\_(<e3><83><84>)_/<c2><af>,,,
 FACEWITHLOOKOFTRIUMPH ,<ed><a0><bd><ed><b8><a4>,,,
 FACEWITHOPENMOUTH ,<ed><a0><bd><ed><b8><ae>,,,
 FACESCREAMINGWITHFEAR ,<ed><a0><bd><ed><b8><b1>,,,
 FEARFULFACE ,<ed><a0><bd><ed><b8><a8>,,,
 FACEWITHOPENMOUTHANDCOLDSWEAT ,<ed><a0><bd><ed><b8><b0>,,,
 HUSHEDFACE ,<ed><a0><bd><ed><b8><af>,,,
 FROWNINGFACEWITHOPENMOUTH ,<ed><a0><bd><ed><b8><a6>,,,
 ANGUISHEDFACE ,<ed><a0><bd><ed><b8><a7>,,,
 CRYINGFACE ,<ed><a0><bd><ed><b8><a2>,,,
 DISAPPOINTEDBUTRELIEVEDFACE ,<ed><a0><bd><ed><b8><a5>,,,
 SLEEPYFACE ,<ed><a0><bd><ed><b8><aa>,,,
 FACEWITHCOLDSWEAT ,<ed><a0><bd><ed><b8><93>,,,
 LOUDLYCRYINGFACE ,<ed><a0><bd><ed><b8><ad>,,,
 DIZZYFACE ,<ed><a0><bd><ed><b8><b5>,,,
 ASTONISHEDFACE ,<ed><a0><bd><ed><b8><b2>,,,
 ZIPPERMOUTHFACE ,<ed><a0><be><ed><b4><90>,,,
 FACEWITHMEDICALMASK ,<ed><a0><bd><ed><b8><b7>,,,
 FACEWITHTHERMOMETER ,<ed><a0><be><ed><b4><92>,,,
 FACEWITHHEADBANDAGE ,<ed><a0><be><ed><b4><95>,,,
 SLEEPINGFACE ,<ed><a0><bd><ed><b8><b4>,,,
 SLEEPINGSYMBOL ,<ed><a0><bd><ed><b2><a4>,,,
 PILEOFPOO ,<ed><a0><bd><ed><b2><a9>,,,
 SMILINGFACEWITHHORNS ,<ed><a0><bd><ed><b8><88>,,,
 IMP ,<ed><a0><bd><ed><b1><bf>,,,
 JAPANESEOGRE ,<ed><a0><bd><ed><b1><b9>,,,
 JAPANESEGOBLIN ,<ed><a0><bd><ed><b1><ba>,,,
 SKULL ,<ed><a0><bd><ed><b2><80>,,,
 GHOST ,<ed><a0><bd><ed><b1><bb>,,,
 EXTRATERRESTRIALALIEN ,<ed><a0><bd><ed><b1><bd>,,,
 ROBOTFACE ,<ed><a0><be><ed><b4><96>,,,
 SMILINGCATFACEWITHOPENMOUTH ,<ed><a0><bd><ed><b8><ba>,,,
 GRINNINGCATFACEWITHSMILINGEYES ,<ed><a0><bd><ed><b8><b8>,,,
 CATFACEWITHTEARSOFJOY ,<ed><a0><bd><ed><b8><b9>,,,
 SMILINGCATFACEWITHHEARTSHAPEDEYES ,<ed><a0><bd><ed><b8><bb>,,,
 CATFACEWITHWRYSMILE ,<ed><a0><bd><ed><b8><bc>,,,
 KISSINGCATFACEWITHCLOSEDEYES ,<ed><a0><bd><ed><b8><bd>,,,
 WEARYCATFACE ,<ed><a0><bd><ed><b9><80>,,,
 CRYINGCATFACE ,<ed><a0><bd><ed><b8><bf>,,,
 POUTINGCATFACE ,<ed><a0><bd><ed><b8><be>,,,
 PERSONRAISINGHANDSINCELEBRATION ,<ed><a0><bd><ed><b9><8c>,,,
 COLONEPERSONRAISINGHANDSINCELEBRATION ,<ed><a0><bd><ed><b9><8c><ed><a0><bc><ed><bf><bb>,,,
 COLTWOPERSONRAISINGHANDSINCELEBRATION ,<ed><a0><bd><ed><b9><8c><ed><a0><bc><ed><bf><bc>,,,
 COLTHREEPERSONRAISINGHANDSINCELEBRATION ,<ed><a0><bd><ed><b9><8c><ed><a0><bc><ed><bf><bd>,,,
 COLFOURPERSONRAISINGHANDSINCELEBRATION ,<ed><a0><bd><ed><b9><8c><ed><a0><bc><ed><bf><be>,,,
 COLFIVEPERSONRAISINGHANDSINCELEBRATION ,<ed><a0><bd><ed><b9><8c><ed><a0><bc><ed><bf><bf>,,,
 CLAPPINGHANDSSIGN ,<ed><a0><bd><ed><b1><8f>,,,
 COLONECLAPPINGHANDSSIGN ,<ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bb>,,,
 COLTWOCLAPPINGHANDSSIGN ,<ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bc>,,,
 COLTHREECLAPPINGHANDSSIGN ,<ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bd>,,,
 COLFOURCLAPPINGHANDSSIGN ,<ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><be>,,,
 COLFIVECLAPPINGHANDSSIGN ,<ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bf>,,,
 WAVINGHANDSIGN ,<ed><a0><bd><ed><b1><8b>,,,
 COLONEWAVINGHANDSIGN ,<ed><a0><bd><ed><b1><8b><ed><a0><bc><ed><bf><bb>,,,
